series_id,display_name,content_type,genre_normalized,era_bucket,_storyline,_tone,_maturity,_director,_actor,n_episodes_tagged
movie::0000015b-7dba-d482-a3db-ffbb69130000,Bapi Bari Jaa,movie,Romantic,2010s,"['ensemble_multiple_storylines', 'family_conflict', 'self_discovery']","['dramatic', 'emotional', 'heartwarming']","['foul language', 'sexual content']",['Sudeshna Roy'],"['Anindya Chatterjee', 'Arjun Chakrabarty', 'Mimi Chakraborty', 'Shalmi Barman']",1
movie::0000015b-8cc1-d6fc-a95b-dedb66b10000,Rajkahini,movie,Drama,2010s,"['gender_empowerment', 'political_unrest', 'social_injustice', 'survival']","['dramatic', 'intense', 'tragic']","['foul language', 'sexual content', 'substance use', 'violence']",['Srijit Mukherji'],"['Abir Chatterjee', 'Ditipriya Roy', 'Jaya Ahsan', 'Jisshu Sengupta', 'Kaushik Sen', 'Parno Mittra', 'Priyanka Sarkar', 'Rajatava Dutta', 'Ridhima Ghosh', 'Rituparna Sengupta', 'Rudranil Ghosh', 'Saayoni Ghosh', 'Saswata Chatterjee', 'Sohini Sarkar', 'Sudipta Chakraborty']",1
movie::0000015b-8cca-d6e5-ad7b-9fff41a10000,Royal Bengal Rahasya,movie,Detective,2010s,"['crime_investigation', 'murder_mystery']","['mysterious', 'suspenseful', 'tense']",['violence'],['Sandip Ray'],"['Bibhu Bhattacharya', 'Sabyasachi Chakrabarty', 'Shaheb Bhattacharjee']",1
movie::0000015b-9237-d1d7-a37b-d6777f470000,Parbo Na Aami Chartey Toke,movie,Drama,2010s,"['forbidden_love', 'social_injustice']","['bittersweet', 'emotional', 'heartwarming']",['appropriate for age 7 and above'],['Raj Chakraborty'],"['Bonny Sengupta', 'Kharaj Mukherjee', 'Koushani Mukherjee', 'Swastika Dutta']",1
movie::0000015b-923b-d139-afdf-9e3f302d0000,Poran Jaye Jolia Re,movie,Romance,2000s,"['arranged_marriage', 'family_conflict', 'forbidden_love']","['chaotic', 'dramatic', 'emotional']",['appropriate for age 7 and above'],['Rabi Kinagi'],"['Biswajit Chakraborty', 'Dev', 'Laboni Sarkar', 'Subhashree Ganguly', 'Tota Roy Choudhury']",1
movie::0000015b-970d-d770-adff-d78fe59a0000,Premer Kahini,movie,Romance,2000s,"['arranged_marriage', 'forbidden_love', 'love_triangle']","['dramatic', 'emotional', 'heartwarming']",['appropriate for age 7 and above'],['Rabi Kinagi'],"['Dev', 'Jisshu Sengupta', 'Koel Mallick']",1
movie::0000015b-a58b-dadf-a7ff-ad8b57e10000,Jamai 420,movie,Comedy,2010s,"['comedy_of_errors', 'love_triangle', 'mistaken_identity']","['chaotic', 'comedic']","['foul language', 'sexual content', 'substance use']",['Rabi Kinagi'],"['Ankush Hazra', 'Mimi Chakraborty']",1
movie::0000015b-ab83-d139-afdf-afa7efd60000,Golpo Holeo Shotti,movie,Horror,2010s,"['comedy_of_errors', 'ghost_haunting', 'supernatural_threat']","['comedic', 'eerie', 'suspenseful']","['foul language', 'frightening scenes', 'violence']",['Birsa Dasgupta'],"['Mimi Chakraborty', 'Soham Chakraborty']",1
movie::0000015b-ab84-d429-af7b-ebff85c90000,Goynar Baksho,movie,Drama,2010s,"['family_conflict', 'gender_empowerment', 'ghost_haunting', 'supernatural_threat']","['comedic', 'empowering', 'heartwarming']","['foul language', 'sexual content']",['Aparna Sen'],"['Aparajita Adhya', 'Konkona Sen Sharma', 'Moushumi Chatterjee', 'Paran Bandopadhyay', 'Saswata Chatterjee', 'Srabanti Chatterjee']",1
movie::0000015b-b2ab-d01e-a37f-feff6b0d0000,Chokher Bali,movie,Drama,2000s,"['betrayal', 'deception_disguise', 'extramarital_affair', 'love_triangle']","['dark', 'dramatic', 'tragic']",['sexual content'],['Rituparno Ghosh'],"['Aishwarya Rai Bachchan', 'Prosenjit Chatterjee', 'Raima Sen', 'Tota Roy Choudhury']",1
movie::0000015b-b2ac-d76f-afdf-f6bc0a7a0000,Cholo Paltai,movie,Sports,2010s,"['domestic_conflict', 'family_conflict', 'reconciliation', 'self_discovery']","['emotional', 'heartwarming']",['appropriate for age 7 and above'],['Haranath Chakraborty'],"['Aryann Bhowmik', 'Prosenjit Chatterjee', 'Rajatava Dutta', 'Tathoi Deb']",1
movie::0000015b-b2bd-d66c-a97b-ffbff3820000,Chander Pahar,movie,Adventure,2010s,"['life_threat', 'self_discovery', 'survival']","['intense', 'suspenseful']",['appropriate for age 7 and above'],['Kamaleswar Mukherjee'],"['Dev', 'Gerard Rudolf', 'Laboni Sarkar']",1
movie::0000015b-b2c0-d01e-a37f-feff7def0000,Chitrangada - The Crowning Wish,movie,Drama,2010s,"['gender_empowerment', 'self_discovery']","['dramatic', 'emotional']","['sexual content', 'substance use']",['Rituparno Ghosh'],"['Jisshu Sengupta', 'Raima Sen']",1
movie::0000015b-b670-d403-a95b-bef3bf190000,Bandhan,movie,Romance,2000s,"['family_conflict', 'family_secrets', 'forbidden_love', 'mistaken_identity']","['dramatic', 'emotional', 'mysterious']",['appropriate for age 7 and above'],['Rabi Kinagi'],"['Jeet', 'Koel Mallick']",1
movie::0000015b-b670-d705-addb-ff7f09620000,Baishe Srabon,movie,Thriller,2010s,"['betrayal', 'crime_investigation', 'murder_mystery']","['dark', 'suspenseful', 'tense']","['foul language', 'sexual content', 'substance use', 'violence']",['Srijit Mukherji'],"['Abir Chatterjee', 'Parambrata Chattopadhyay', 'Prosenjit Chatterjee', 'Raima Sen']",1
movie::0000015b-e6c4-de67-ad7b-e7cd63050000,Kelor Kirti,movie,Comedy,2010s,"['comedy_of_errors', 'deception_disguise', 'ensemble_multiple_storylines', 'family_secrets']","['chaotic', 'comedic']",['suitable for all ages'],['Raja Chanda'],"['Ankush Hazra', 'Dev', 'Jisshu Sengupta', 'Koushani Mukherjee', 'Mimi Chakraborty', 'Nussrat Jahan', 'Sayantika Banerjee']",1
movie::0000015b-e925-dbfd-a9db-e9f784940000,Gangster,movie,Crime,2010s,"['betrayal', 'life_threat', 'reconciliation']","['dramatic', 'emotional', 'tense']","['foul language', 'violence']",['Birsa Dasgupta'],"['Gaurav Chakrabarty', 'Mimi Chakraborty', 'Saurav Das', 'Shantilal Mukherjee', 'Yash Dasgupta']",1
movie::0000015e-9bb6-dfab-addf-fbbe0cdb0000,Ogo Badhu Sundari,movie,Comedy,1980s,"['comedy_of_errors', 'self_discovery']","['comedic', 'heartwarming']",['suitable for all ages'],['Salil Datta'],"['Moushumi Chatterjee', 'Santosh Dutta', 'Uttam Kumar']",1
movie::0000015f-2bd3-d1a3-a3ff-7bfb91640000,Hrid Majharey,movie,Romance,2010s,"['betrayal', 'love_triangle', 'manipulation']","['dramatic', 'tense', 'tragic']",['foul language'],['Ranjan Ghosh'],"['Abir Chatterjee', 'Arun Mukherjee', 'Raima Sen']",1
movie::0000015f-2bdb-d1a3-a3ff-7bfb09a00000,Utsab,movie,Drama,2000s,"['ensemble_multiple_storylines', 'family_conflict', 'family_rivalry', 'family_secrets']","['dramatic', 'mysterious', 'tense']",['sexual content'],['Rituparno Ghosh'],"['Arpita Chatterjee', 'Madhabi Mukherjee', 'Mamata Shankar', 'Prosenjit Chatterjee', 'Ratul Shankar', 'Rituparna Sengupta']",1
movie::0000015f-2bdd-d1a3-a3ff-7bffdde50000,Titli,movie,Drama,2000s,"['family_secrets', 'self_discovery']","['bittersweet', 'dramatic', 'emotional']",['appropriate for age 7 and above'],"['Aparna Sen', 'Rituparno Ghosh']","['Konkona Sen Sharma', 'Mithun Chakraborty']",1
movie::0000015f-59fb-de9c-afff-dfffbfef0000,Khoj,movie,Crime,2010s,"['cover_up', 'crime_investigation', 'deception_disguise', 'missing_person']","['mysterious', 'suspenseful', 'tense']","['sexual content', 'violence']",['Arka Ganguly'],"['Shataf Figar', 'Vikram Chatterjee']",1
movie::0000015f-83ed-d6c1-a57f-97ef91e50000,Bunohaansh,movie,Thriller,2010s,"['midlife_crisis', 'self_discovery']","['dramatic', 'tense']","['foul language', 'sexual content', 'substance use', 'violence']",['Aniruddha Roy Chowdhury'],"['Dev', 'Srabanti Chatterjee', 'Tnusree C']",1
movie::0000015f-9257-d6c1-a57f-967fd03f0000,Bagh Bondi Khela,movie,Drama,1970s,"['betrayal', 'family_conflict', 'reconciliation']","['dramatic', 'emotional']",['appropriate for age 7 and above'],['Piyush Bose'],"['Partha Mukherjee', 'Supriya Devi', 'Uttam Kumar']",1
movie::0000015f-9258-d6c1-a57f-967f9ff90000,Banku babu,movie,Comedy,2010s,"['comedy_of_errors', 'domestic_conflict', 'family_conflict']","['chaotic', 'comedic', 'heartwarming']",['appropriate for age 7 and above'],['Anindya Bikash Dutta'],"['Arjun Chakrabarty', 'Laboni Sarkar', 'Saswata Chatterjee']",1
movie::0000015f-925c-d6c1-a57f-967f2c970000,Dhanni Meye,movie,Comedy,1970s,"['comedy_of_errors', 'family_rivalry']",['comedic'],['suitable for all ages'],['Arabinda Mukhopadhyay'],"['Jaya Bachchan', 'Sabitri Chatterjee', 'Uttam Kumar']",1
movie::0000015f-925d-d6c1-a57f-967f9d0b0000,Half Serious,movie,Comedy,2010s,"['domestic_conflict', 'gender_empowerment', 'social_injustice']","['comedic', 'empowering']",['appropriate for age 7 and above'],['Utsav Mukherjee'],"['Ridhima Ghosh', 'Roopa Ganguly', 'Silajit Majumder']",1
movie::0000015f-9260-d6c1-a57f-966fbc140000,Mastermasai,movie,Drama,2000s,"['self_discovery', 'unlikely_friendship']","['emotional', 'heartwarming']",['appropriate for age 7 and above'],['Abhijit Sen'],"['Chiranjeet Chakrabarti', 'Indrani Haldar', 'Victor Banerjee']",1
movie::0000015f-9261-d6c1-a57f-966fecc20000,Mon Churi,movie,Comedy,2010s,"['comedy_of_errors', 'deception_disguise', 'heist', 'scam_con']","['chaotic', 'comedic']",['appropriate for age 7 and above'],['Premasish Dey'],"['Biswanath Basu', 'Kharaj Mukherjee', 'Saswata Chatterjee']",1
movie::0000015f-ceb1-db97-a7ff-ffbb84c00000,Chotushkone,movie,Thriller,2010s,"['betrayal', 'deception_disguise', 'ensemble_multiple_storylines']","['dark', 'mysterious', 'tense']","['foul language', 'sexual content', 'substance use', 'violence']","['Aparna Sen', 'Goutam Ghose', 'Srijit Mukherji']","['Chiranjeet Chakrabarti', 'Indrasish Roy', 'Kaushik Ganguly', 'Paayel Sarkar', 'Parambrata Chattopadhyay', 'Rahul Arunoday Banerjee']",1
movie::0000015f-ceba-d283-a5ff-dfbf52290000,Jaatishwar,movie,Musical Drama,2010s,"['mistaken_identity', 'self_discovery']","['dramatic', 'mysterious']",['appropriate for age 7 and above'],['Srijit Mukherji'],"['Jisshu Sengupta', 'Prosenjit Chatterjee', 'Swastika Mukherjee']",1
movie::0033a9f4-ac4c-41ee-b4f8-5700c930478a,Robibarer Pujor Bazar,movie,Comedy,2020s,"['comedy_of_errors', 'domestic_conflict']","['comedic', 'heartwarming']",['suitable for all ages'],['Sayantan Dhara'],"['Bhaskar Mukherjee', 'Chirantan Dasgupta', 'Ishita Das', 'Joysree Dasgupta', 'Naren Bhattachajee', 'Sisir Moitra', 'Sohom Kar', 'Somashri Bhattacharya', 'Sujata Lala', 'Sunanda Paul']",1
movie::0119bc86-156a-4922-a414-149622bb7125,Dugga,movie,Drama,2020s,"['midlife_crisis', 'self_discovery']","['dramatic', 'emotional', 'tense']",['violence'],['Anuraag Pati'],"['Annie Sen', 'Ashok Maharana', 'Joy Sengupta', 'Pratyusha', 'Sumit Halder']",1
movie::024b93b7-c73f-4149-87b9-267ae06136c3,Chaplin,movie,Drama,2010s,"['class_divide', 'self_discovery']","['emotional', 'heartwarming', 'uplifting']",['appropriate for age 7 and above'],['Anindo Banerjee'],"['Rudranil Ghosh', 'Soham Maitra']",1
movie::04294447-59ab-43e6-a287-0470c72ddd75,Cheeni,movie,Drama,2020s,"['family_conflict', 'family_secrets', 'reconciliation']","['dramatic', 'emotional']",['appropriate for age 7 and above'],['Mainak Bhaumik'],"['Aparajita Adhya', 'Madhumita Sarcar', 'Saurav Das']",1
movie::089ba8fa-8b44-4fba-a72a-07253752b3ac,Jamai Bodol,movie,Drama,2020s,"['comedy_of_errors', 'deception_disguise', 'family_conflict', 'in_law_tension']","['comedic', 'dramatic']",['suitable for all ages'],['Sayantan Dhara'],"['Bhaskar Banerjee', 'Debojyoti Roy', 'Soumi Chakraborty', 'Swati Mukherjee']",1
movie::08ea5ab5-96d3-4a93-b173-26bec50c744f,Ekannoborti,movie,Drama,2020s,"['ensemble_multiple_storylines', 'family_conflict', 'family_secrets', 'reconciliation']","['bittersweet', 'emotional', 'heartwarming']",['foul language'],['Mainak Bhaumik'],"['Alokananda Roy', 'Ananya Sen', 'Aparajita Adhya', 'Sauraseni Maitra']",1
movie::0a92ea46-f432-49ef-ac54-84c083d5e424,Bornoporichoy,movie,Thriller,2010s,"['cover_up', 'crime_investigation', 'murder_mystery']","['mysterious', 'suspenseful', 'tense']","['foul language', 'substance use', 'violence']",[],"['Abir Chatterjee', 'Jisshu Sengupta', 'Priyanka Sarkar']",1
movie::0b025d63-8ee7-4cd3-9ecf-501f865f0c0f,Jhilli,movie,Drama,2020s,"['class_divide', 'self_discovery', 'survival']","['bittersweet', 'dramatic']","['alcohol', 'foul language', 'mature themes', 'smoking']",['Ishaan Ghose'],"['Aranya Gupta', 'Bitan Biswas', 'Sayandeep Guha', 'Sombhunath De', 'Sourav Nayak']",1
movie::0dd48e8c-a3d2-4a83-9320-8766bb1447bb,Brombhodoityo,movie,Horror,2020s,"['curse_ritual', 'life_threat', 'supernatural_threat']","['dark', 'eerie', 'ominous']","['foul language', 'frightening scenes', 'violence']",['Abhirup Ghosh'],"['Anindya Chatterjee', 'Rudranil Ghosh', 'Saayoni Ghosh', 'Soumalya Dutta', 'Souman Bose', 'Sourav Saha']",1
movie::0eee06a2-d330-4408-b00a-efffbbd5446c,The Eken: Kerala-e Kurukshetra (Film),movie,Detective,2020s,"['comedy_of_errors', 'crime_investigation', 'kidnapping']","['comedic', 'mysterious']",['appropriate for age 7 and above'],['Joydeep Mukherjee'],"['Anirban Chakrabarti', 'Somak Ghosh', 'Suhotra Mukhopadhyay']",1
movie::100b7e64-9cd8-4158-a73d-9f88b39fd809,Window Connection,movie,Psychological Thriller,2010s,"['deception_disguise', 'life_threat', 'manipulation']","['dark', 'suspenseful', 'tense']","['alcohol', 'foul language', 'sexual content', 'smoking', 'violence']",['Raj Kumar Gupta'],"['Aryann Bhowmik', 'Tnusree C']",1
movie::10c0f240-d026-4ada-a885-0a7c3ff962fd,Abby Sen,movie,Science Fiction,2010s,"['midlife_crisis', 'self_discovery']","['bittersweet', 'dramatic', 'mysterious']",['appropriate for age 7 and above'],"['Atanu Ghosh', 'Bratya Basu']","['Abir Chatterjee', 'Arunima Ghosh', 'Bhaswar Chatterjee', 'Biswanath Basu', 'Chiranjeet Chakrabarti', 'Kanchan Mullick', 'Kharaj Mukherjee', 'Neel Mukherjee', 'Paran Bandopadhyay', 'Priyanka Sarkar', 'Raima Sen']",1
movie::1354a8d9-4834-4fb1-9a8d-e28c46e2464d,Gumnaami (Hindi),movie,Mystery,2010s,"['cover_up', 'missing_person', 'political_unrest']","['dramatic', 'mysterious', 'suspenseful']",['appropriate for age 7 and above'],['Srijit Mukherji'],"['Akshay Kapoor', 'Anirban Bhattacharya', 'Biplab Dasgupta', 'Prantik Banerjee', 'Prosenjit Chatterjee', 'Sanjay Gurbaxani', 'Satyam Bhattacharya', 'Shibashish Bandopadhyay', 'Shyamal Chakraborty', 'Surendra Rajan', 'Tanusree Chakraborty']",1
movie::14046aaa-9648-4cc8-8b39-cb2e5df29ce0,Laboratory (Hindi),movie,Period Drama,2020s,"['arranged_marriage', 'family_conflict', 'gender_empowerment']","['dramatic', 'emotional']",['mature themes'],['Soumik Chattopadhyay'],"['Anirban Bhattacharya', 'Darshana Banik', 'Kaushik Sen', 'Nandini Ghoshal']",1
movie::143e1816-eb4b-4f22-bc98-584cc7b6e854,Crisscross,movie,Social Drama,2010s,"['ensemble_multiple_storylines', 'gender_empowerment', 'social_injustice', 'survival']","['dramatic', 'empowering', 'intense']","['foul language', 'sexual content', 'substance use', 'violence']",['Birsa Dasgupta'],"['Gaurav Chakrabarty', 'Jaya Ahsan', 'Mimi Chakraborty', 'Nussrat Jahan', 'Priyanka Sarkar', 'Sohini Sarkar']",1
movie::1517a88d-0e70-4bc2-adca-5658f8c32966,Borunbabur Bondhu,movie,Drama,2010s,"['family_conflict', 'self_discovery', 'unlikely_friendship']","['comedic', 'emotional', 'heartwarming']",['appropriate for age 7 and above'],['Anik Dutta'],"['Kaushik Sen', 'Paran Bandopadhyay', 'Ritwick Chakraborty', 'Soumitra Chatterjee']",1
movie::1589644a-7647-4ca0-9ba4-0b57454347da,Kathbirali,movie,Romance,2020s,"['life_threat', 'love_triangle', 'unlikely_friendship']","['dramatic', 'emotional', 'tense']",['appropriate for age 7 and above'],['Niamul Mukta'],"['A K Azad Shetu', 'Asaduzzaman Abir', 'Hindol Roy', 'Orchita Sporshia', 'Sayed Zaman Shawon', 'Shahriar Ferdous Sazeeb', 'Tasnim']",1
movie::16d45482-cc7c-4aa7-a1bc-121505ff3030,Ghar Ghar Ki Kahaani (Hindi),movie,Drama,2020s,"['ensemble_multiple_storylines', 'family_conflict', 'family_rivalry', 'family_secrets']","['dramatic', 'emotional', 'tense']",['appropriate for age 7 and above'],['Ashfaque Nipun'],"['Runa Khan', 'Saberi Alam', 'Sabila Nur', 'Sayed Babu', 'Shamol Mawla', 'Tariq Anam Khan', 'Yash Rohan']",1
movie::188f68e0-a19f-41c8-b3d2-49727ce63384,Durga Sohay,movie,Drama,2010s,"['class_divide', 'deception_disguise', 'self_discovery']","['emotional', 'uplifting']","['alcohol', 'foul language', 'smoking', 'violence']",['Arindam Sil'],"['Anirban Bhattacharya', 'Indrasish Roy', 'Kaushik Sen', 'Sohini Sarkar', 'Tnusree C']",1
movie::1acbfc72-b8e0-4d01-bd5e-c02c123a8b24,Tangra Blues,movie,Drama,2020s,"['class_divide', 'self_discovery', 'unlikely_friendship']","['emotional', 'heartwarming', 'uplifting']","['foul language', 'violence']",['Supriyo Sen'],"['Madhumita Sarcar', 'Parambrata Chattopadhyay']",1
movie::1ade5ee8-9eb1-44e4-a7d6-1e5f84c406f9,Dutta Vs Dutta,movie,Drama,2010s,"['family_conflict', 'political_unrest', 'self_discovery']","['dramatic', 'emotional', 'tense']","['foul language', 'sexual content', 'substance use', 'violence']",['Anjan Dutt'],['Ronodeep Bose'],1
movie::1de3d2ec-9459-4a8f-8643-f7ea775bc089,Family Album,movie,Drama,2010s,"['betrayal', 'deception_disguise', 'family_conflict', 'family_secrets']","['dark', 'dramatic', 'tense']","['foul language', 'sexual content', 'substance use']",['Mainak Bhaumik'],"['Paoli Dam', 'Ranodeep Bose', 'Riya Sen', 'Swastika Mukherjee']",1
movie::1e3141f3-4b60-4216-a627-5076a3c12db1,Tirandaj Shabor,movie,Mystery,2020s,"['crime_investigation', 'murder_mystery']","['mysterious', 'suspenseful', 'tense']","['foul language', 'sexual content', 'violence']",['Arindam Sil'],"['Chandan Sen', 'Devlina Kumar', 'Nigel Akkara', 'Saswata Chatterjee', 'Subhrajit Dutta']",1
movie::228f1b12-f316-45bb-b2c0-3808c6de051f,Synthetic Sati,movie,Drama,2010s,"['self_discovery', 'supernatural_threat']","['dark', 'eerie', 'mysterious']","['foul language', 'sexual content']",['Rishav Ghosh'],"['Gargee Banerjee', 'Kheya Chattopadhyay', 'Prantik Banerjee', 'Sauraseni Maitra', 'Suvosmita Mukherjee']",1
